M1 signature	M2a signature	M2c signature	Phagocytic	Oxidative stress	Inflammatory	Remodeling
Nos2	Mrc1	Cd163	Sepp1	Cxcl13	Ubxn2b	Zdhhc17
Cd38	Arg1	Mertk	Folr2	Ltbp1	Taf5	Gsn
Gpr18	Chil3	Il10	C1qa	Padi4	Atrn	Wipi1
Fpr2	Retnla	Tgfb1	Cd36	Gngt2	Plac8	Rnf25
Marco	Tgm2	Stat3	Pf4	Thbs1	Pydc4	Dhx57
Cxcl9	Egr2	Pgf	Fcna	Emilin2	Cyfip2	Zfp276
Cxcl10	Myc	Mmp9	Ltc4s	Bst1	Slc33a1	Pik3cb
Cxcl11	Pparg	Mmp7	C1qc	Serpinb10	Zfyve9	Pacs1
Il1b	Stat6	Trem2	Lyve1	Slpi	Msrb1	Mphosph6
Tnf	Cd301b	C1qa	Fcgrt	Pycard	Tfec	Ago1
Il12b	Pdcd1lg2	C1qb	Apoe	Pex11a	St7l	Trp53inp2
Clec4e	Clec7a	C1qc	Ctsb	Itgb2	Zcchc10	Sparc
Ifit1	Ccl17	Gas6	Wfdc17	Rabif	Phkg2	Zbtb18
Cmpk2	Ccl22	Cd72	Cbr2	C4b	Arpc1b	Oraov1
Stat1	Ccl24	Tfrc	F13a1	Fn1	Mief1	Mavs
Irf5			Ninj1	Stk3	Lgals3	Alkbh6
Cd80			Fxyd2	Pygl	Pla2g4a	Bcl9l
Cd86			Itm2b	2310061I04Rik	Zfp653	Nsun3
Nfkbiz			Cd209f	Prkch	Oas3	Dcn
Acod1			Ccl24	F10	Samhd1	Pex6
			Rcn3	C130050O18Rik	Rmdn1	Ubqln2
			Gas6	Zfp574	Ripk3	Lrch3
			Csf1r	Cybb	Pxk	Mmp2
			Ednrb	Pibf1	Surf1	Zfp280d
			Lgmn	Aagab	Hlcs	A630001G21Rik
			Cd209g	Rfxank	Filip1l	Rbm15b
			Cst3	Wrn	Mrpl46	Dut
			Igfbp4	Mycbp	Prdx5	Alg11
			Trf	Dph5	Nsfl1c	Stk38l
			Cd63	Alg3	Adrbk2	Pigc
			Serinc3	Lrpprc	Eml4	Zfp954
			Nrp1	Hipk2	Tpgs1	Slc35a5
			Dab2	Emc9	Rrad	Fbxo25
			Cd163	Fgd6	B4galnt1	Ccdc28a
			Mt1	Hddc2	Skint3	Ppp2r3c
			Timp2	Tmem38b	1600014C10Rik	Meg3
			Mrc1	Ift43	Daxx	Rexo4
			Timd4	Lpcat2	Rnf138	Tram2
			Blvrb	Ufl1	Sephs2	Kif3b
			Serpinb6a	Tmem191c	Glyr1	RP23-218K15.3
			Wwp1	Acaca	Esd	Ccdc80
			Maf	Tars2	Gm26740	Arhgap10
			Ubc	Als2	Rnase6	Serping1
			Cfh	Atg2b	Dok3	Ugp2
			Rgl1	Klf11	Tifab	Morn2
			Ophn1	Zbtb37	Ifitm3	Ascc2
			C4b	Gm11713	Fnbp4	2700081O15Rik
			AI607873	Nepro	Tmem51	Papd5
			Cmah	Zfp276	Pyhin1	Dnajc18
			mt-Atp6	Zbtb22	Nadk	Col1a1
			Mtss1	Clec4d	2310001H17Rik	Golim4
			Pltp	Calcoco1	Gbp2	Col3a1
			Ly6e	Trp53rka	Mndal	Srebf1
			Clec10a	Gm20696	Oasl2	Clec3b
			Cltc	Rdh14	Gngt2	Atg13
			C5ar1	Plod3	AI413582	Fam193b
			Aldh2	Itgam	Cd300a	Dpt
			Glul	Laptm5	Pdzd11	Mtf2
			Prune2	Zfp182	Fam63a	Dusp8
			Emp1	Tmem260	Ncor2	Gphn
			Pde2a	Brd1	Rsad2	Serpinh1
			Pepd	Fbxo34	Ngdn	Fstl1
			Tgfbr2	Fabp4	Ube2l6	Nt5c3
			Tmem106a	Cbwd1	Sell	Pparg
			Pmp22	Fam65b	Psmb9	Pbx1
			Snx2	Ascc2	Slpi	Gmds
			Stab1	Wdr12	Tyrobp	Ppp1r16a
			Bmp2	F5	Clec4e	Pank3
			Abca1	Isoc2a	Snrnp40	Stambpl1
			Cd209d	Dennd4a	Pnp	E4f1
			Prkcb	Grk5	Gm7676	Tor1aip2
			Qk	Mad2l1bp	Clec4d	Ramp2
			Tbc1d17	Dcp1b	Pou2f2	Arid5b
			Cfp	Ube2g2	Gtf3a	Cd274
			Cd81	Osbpl2	Pkn1	Nbas
			Vps33a	Nsun3	Nfe2	Pik3r2
			Ccl2	Trmt61a	AF251705	Exosc9
